CATEGORY,TYPE,DETAIL,REQUEST TYPE
Sidewalks / Curbs / Ditch,Obstructed / Closure,Ramp,Sidewalks / Curbs / Ditch-Obstructed / Closure-Ramp
Sidewalks / Curbs / Ditch,Park Property,Central,Sidewalk/Curb/Ditch-Park Property-Central
Sidewalks / Curbs / Ditch,Park Property,North,Sidewalk/Curb/Ditch-Park Property-North
Sidewalks / Curbs / Ditch,Park Property,South,Sidewalk/Curb/Ditch-Park Property-South
Sidewalks / Curbs / Ditch,Snow / Ice,Bridge,Sidewalks / Curbs / Ditch-Snow / Ice-Bridge
Sidewalks / Curbs / Ditch,Snow / Ice,City Owned,Sidewalks / Curbs / Ditch-Snow / Ice-City Owned
Sidewalks / Curbs / Ditch,Snow / Ice,Commercial,Property Violations
Sidewalks / Curbs / Ditch,Snow / Ice,Park - Central,Sidewalks / Curbs / Ditch-Snow / Ice-Park - Central
Sidewalks / Curbs / Ditch,Snow / Ice,Park - North,Sidewalks / Curbs / Ditch-Snow / Ice-Park - North
Sidewalks / Curbs / Ditch,Snow / Ice,Park - South,Sidewalks / Curbs / Ditch-Snow / Ice-Park - South
Sidewalks / Curbs / Ditch,Snow / Ice,Private Property,Property Violations
Sidewalks / Curbs / Ditch,Unapproved Objects,Basketball Hoop / Goal,Sidewalks / Curbs / Ditch-Unapproved Objects-Basketball Hoop/Goal
Sidewalks / Curbs / Ditch,Unapproved Objects,Landscaping,Sidewalks / Curbs / Ditch-Unapproved Objects-Landscaping
Sidewalks / Curbs / Ditch,Unapproved Objects,Merchandise,Sidewalks / Curbs / Ditch-Unapproved Objects-Merchandise
Sidewalks / Curbs / Ditch,Unapproved Objects,Other,Sidewalks / Curbs / Ditch-Unapproved Objects-Other
Signal,Damage,Signal,"Traffic Signal Pole Damage, Rust, Vandalism"
Signal,Malfunction,Signal,Traffic Signal Malfunction
Signal,Malfunction,Signal,Traffic Signal Out
Signal,Outage,Signal,Traffic Signal Malfunction
Signal,Outage,Signal,Traffic Signal Out
Signs,Banners,Removal,Signs/Banners/Removal
Signs,Commercial Signs / Ads,Billboard,Signs-Commercial Signs / Ads-Banner / Billboard
Signs,Commercial Signs / Ads,In Right-Of-Way,Signs-Commercial Signs / Ads-In Right-Of-Way
Signs,No Dumping Sign,District 1,Signs-No Dumping Sign-District 1
Signs,No Dumping Sign,District 2,Signs-No Dumping Sign-District 2
Signs,No Dumping Sign,District 3,Signs-No Dumping Sign-District 3
Signs,Street Name Signs,Down / Damaged,Signs-Street Name Signs-Down / Damaged
Signs,Street Name Signs,Graffiti,Signs-Street Name Signs-Graffiti
Signs,Street Name Signs,Honorary/Renaming,Signs-Street Name Signs-Honorary/Renaming
Signs,Street Name Signs,Missing,Signs-Street Name Signs-Missing
Signs,Street Name Signs,New Sign Request,Signs-Street Name Signs-New Sign Request
Signs,Street Name Signs,Remove Sign,Signs-Street Name Signs-Remove Sign
Signs,Traffic Sign,Bike Route,Signs-Traffic Sign-Bike Route
Signs,Traffic Sign,Damaged - Emergency,Signs-Traffic Sign-Damaged – Emergency
Signs,Traffic Sign,Damaged - Non-Emergency,Signs-Traffic Sign-Damaged – Non-Emergency
Signs,Traffic Sign,Graffiti,Signs-Traffic Sign-Graffiti
Signs,Traffic Sign,Missing - Emergency,Signs-Traffic Sign-Missing – Emergency
Signs,Traffic Sign,Missing - Non-Emergency,Signs-Traffic Sign-Missing – Non-Emergency
Signs,Traffic Sign,New Sign Installation,Signs-Traffic Sign-New Sign Installation
Signs,Traffic Sign,New Sign Request,Signs-Traffic Sign-New Sign Request
Signs,Traffic Sign,Remove Sign,Signs-Traffic Sign-Remove Sign
Snow & Ice,Administration,Administration,Snow and Ice Administration
Snow & Ice,Street,District One,Snow or Ice on Street (North of River)
Snow & Ice,Street,District One,Snow or Ice on Street District 1
Snow & Ice,Street,District One,Snow or Ice on Street District 2
Snow & Ice,Street,District One,Snow or Ice on Street District 3
Snow & Ice,Street,District Three,Snow or Ice on Street (South of 47th Street and West of Blue PKWY)
Snow & Ice,Street,District Three,Snow or Ice on Street (South of 47th Street)
Snow & Ice,Street,District Three,Snow or Ice on Street District 3
Snow & Ice,Street,District Two,Snow or Ice on Street (North of River)
Snow & Ice,Street,District Two,Snow or Ice on Street (South of River to 47th Street and East of Blu
Snow & Ice,Street,District Two,Snow or Ice on Street (South of River to 47th Street)
Snow & Ice,Street,District Two,Snow or Ice on Street District 1
Snow & Ice,Street,District Two,Snow or Ice on Street District 2
Snow & Ice,Street,District Two,Snow or Ice on Street District 3
Steel Plate,Street,Hazard,Plate Hazard
Steel Plate,Street,Utility Cut,Metal Plate in Street (North of River)
Steel Plate,Street,Utility Cut,Metal Plate in Street (South of 47th Street)
Steel Plate,Street,Utility Cut,Metal Plate in Street (South of River to 47th Street)
Steel Plate,Street,Utility Cut,Plate Hazard
Steel Plate,Street,Utility Cut,Plate in Street
Steel Plate,Street,Utility Cut,Street Maintenance General (South of 47th Street)
Storm Water,Catch Basin,All,Catch Basins and Storm Water Concerns
Storm Water,Street Sweeping,All,Street Sweeping Citywide
Storm Water / Sewer,Construction Repair,Referral,Storm Water / Sewer - Construction Repair - Referral
Storm Water / Sewer,Culvert,North,Storm Water / Sewer-Culvert-North
Storm Water / Sewer,Culvert,North,Stormwater-Culvert-North
Storm Water / Sewer,Culvert,South,Storm Water / Sewer-Culvert-South
Storm Water / Sewer,Culvert,South,Stormwater-Culvert-South
Storm Water / Sewer,Flood Barricade,Parks Barricade,Storm Water / Sewer - Flood - Parks Barricade
Storm Water / Sewer,Flood Barricade,Parks Barricade,Stormwater - Flood - Parks Barricade
Storm Water / Sewer,Flood Barricade,Public Works Barricade,Storm Water / Sewer - Flood - Public Works Barricade
Storm Water / Sewer,Flood Barricade,Public Works Barricade,Stormwater - Flood - Public Works Barricade
Storm Water / Sewer,Flood Barricade,Water Service Barricade,Storm Water / Sewer - Flood - Water Services Barricade
Storm Water / Sewer,Flood Barricade,Water Service Barricade,Stormwater - Flood - Water Services Barricade
Storm Water / Sewer,Improved Channel,Clogged / Debris,Storm Water / Sewer-Improved Channel-Clogged / Debris
Storm Water / Sewer,Improved Channel,Clogged / Debris,Stormwater-Improved Channel-Clogged / Debris
Storm Water / Sewer,Improved Channel,Damaged,Storm Water / Sewer-Improved Channel-Damaged
Storm Water / Sewer,Improved Channel,Damaged,Stormwater-Improved Channel-Damaged
Storm Water / Sewer,Manhole,Missing / Broken,Sewer-Manhole-Missing / Broken
Storm Water / Sewer,Manhole,Missing / Broken,Storm Water / Sewer-Manhole-Missing / Broken
Storm Water / Sewer,Services,Call Back Request,Storm Water / Sewer-Services-Call Back Request
Storm Water / Sewer,Services,Call Back Request,Stormwater / Sewer-Services-Call Back Request
Storm Water / Sewer,Services,Feedback,Storm Water / Sewer-Services-Feedback
Storm Water / Sewer,Services,Feedback,Stormwater / Sewer-Services-Feedback
Storm Water / Sewer,Services,Question,Storm Water / Sewer-Services-Question
Storm Water / Sewer,Services,Service Issue / Problem,Storm Water / Sewer-Services-Service Issue / Problem
Storm Water / Sewer,Services,Service Issue / Problem,Stormwater / Sewer-Services-Service Issue / Problem
Storm Water / Sewer,Services,Sewer Restoration,Sewer - Services - Sewer Restoration
Storm Water / Sewer,Services,Sewer Restoration,Storm Water / Sewer - Services - Sewer Restoration
Storm Water / Sewer,Sewer Backup / Leak,From Manhole,Sewer-Sewer Backup / Leak-From Manhole
Storm Water / Sewer,Sewer Backup / Leak,From Manhole,Storm Water / Sewer-Sewer Backup / Leak-From Manhole
Storm Water / Sewer,Sewer Backup / Leak,In A House,Sewer-Sewer Backup / Leak-In a house
Storm Water / Sewer,Sewer Backup / Leak,In A House,Storm Water / Sewer-Sewer Backup / Leak-In a house
Storm Water / Sewer,Sewer Backup / Leak,Outside,Sewer-Sewer Backup / Leak-Outside
Storm Water / Sewer,Sewer Backup / Leak,Outside,Storm Water / Sewer-Sewer Backup / Leak-Outside
Storm Water / Sewer,Sewer Backup / Leak,Owner‘s Responsibility,Property Violations
Storm Water / Sewer,Sewer Backup / Leak,Owner‘s Responsibility,Sewer - Sewer Backup - Owner Responsibility
Storm Water / Sewer,Sewer Backup / Leak,Treatment Plant,Sewer-Sewer Backup / Leak-Treatment Plant
Storm Water / Sewer,Sewer Backup / Leak,Treatment Plant,Storm Water / Sewer-Sewer Backup / Leak-Treatment Plant
Storm Water / Sewer,Sewer Odor,Indoor,Sewer-Sewer Odor-Indoor
Storm Water / Sewer,Sewer Odor,Indoor,Storm Water / Sewer-Sewer Odor-Indoor
Storm Water / Sewer,Sewer Odor,Outdoor,Sewer-Sewer Odor-Outdoor
Storm Water / Sewer,Sewer Odor,Outdoor,Storm Water / Sewer-Sewer Odor-Outdoor
Storm Water / Sewer,Sewer Referral,Basement,Storm Water / Sewer-Sewer Referral-Basement
Storm Water / Sewer,Sewer Referral,Investigation,Sewer-Sewer Referral-Investigation
Storm Water / Sewer,Sewer Referral,Investigation,Storm Water / Sewer-Sewer Referral-Investigation
Storm Water / Sewer,Sewer Referral,Private Line Repair,Sewer-Sewer Referral-Private Line
Storm Water / Sewer,Sewer Referral,Private Line Repair,Storm Water / Sewer-Sewer Referral-Private Line
Storm Water / Sewer,Sewer Referral,Repair,Sewer-Sewer Referral-Repair
Storm Water / Sewer,Sewer Referral,Repair,Storm Water / Sewer-Sewer Referral-Repair
Storm Water / Sewer,Sewer Referral,Restoration,Sewer-Sewer Referral-Restoration
Storm Water / Sewer,Sewer Referral,Restoration,Storm Water / Sewer-Sewer Referral-Restoration
Storm Water / Sewer,Sewer Referral,Restoration Issue,Sewer-Sewer Referral-Restoration Issue
Storm Water / Sewer,Sewer Referral,Restoration Issue,Storm Water / Sewer-Sewer Referral-Restoration Issue
Storm Water / Sewer,Sinkhole,Sidewalk,Sewer-Sinkhole-Sidewalk
Storm Water / Sewer,Sinkhole,Sidewalk,Storm Water / Sewer-Sinkhole-Sidewalk
Storm Water / Sewer,Sinkhole,Street,Sewer-Sinkhole-Street
Storm Water / Sewer,Sinkhole,Street,Storm Water / Sewer-Sinkhole-Street
Storm Water / Sewer,Sinkhole,Yard,Sewer-Sinkhole-Yard
Storm Water / Sewer,Sinkhole,Yard,Storm Water / Sewer-Sinkhole-Yard
Storm Water / Sewer,Storm Drain / Catch Basin,Clogged / Over-Flow,Storm Water / Sewer-Storm Drain / Catch Basin-Clogged / Over-Flow
Storm Water / Sewer,Storm Drain / Catch Basin,Clogged / Over-Flow,Storm Water-Storm Drain / Catch Basin-Clogged / Over-Flow
Storm Water / Sewer,Storm Drain / Catch Basin,Clogged / Over-Flow,Stormwater-Storm Drain / Catch Basin-Clogged / Over-Flow
Storm Water / Sewer,Storm Drain / Catch Basin,Damaged / Broken,Storm Water / Sewer-Storm Drain / Catch Basin-Damaged / Broken
Storm Water / Sewer,Storm Drain / Catch Basin,Damaged / Broken,Stormwater-Storm Drain / Catch Basin-Damaged / Broken
Storm Water / Sewer,Storm Drain / Catch Basin,Dropped Personal Item,Storm Water / Sewer-Storm Drain / Catch Basin-Dropped Personal Item
Storm Water / Sewer,Storm Drain / Catch Basin,Dropped Personal Item,Stormwater-Storm Drain / Catch Basin-Dropped Personal Item
Storm Water / Sewer,Storm Water Referral,Creek/Green Solution,Storm Water / Sewer-Storm Referral-Creek/Green Solution
Storm Water / Sewer,Storm Water Referral,Investigation,Storm / Sewer-Stormwater Referral-Investigation
Storm Water / Sewer,Storm Water Referral,Investigation,Stormwater-Stormwater Referral-Investigation
Storm Water / Sewer,Storm Water Referral,Repair,Storm / Sewer-Storm Water Referral-Repair
Storm Water / Sewer,Storm Water Referral,Repair,Stormwater-Stormwater Referral-Repair
Storm Water / Sewer,Storm Water Referral,Restoration Issue,Storm Water / Sewer-Stormwater Referral-Restoration
Storm Water / Sewer,Storm Water Referral,Restoration Issue,Stormwater-Stormwater Referral-Restoration
Street,Street Preservation,Street Resurfacing,Street Preservation or Overlay
Street Light,Damage,Pole,SLA0 Streetlight Pole Down or Leaning
Street Light,Damage,Street Light,SLP0 Streetlight Miscellaneous
Street Light,Damage,Street Light,"Street Light Pole Damage, Rust, Vandalism"
Street Light,Damage,Street Light,Street Light Restoration Referral
Street Light,Damage,Wire or Arm,SLB0 Streetlight Wire Down or Hanging Arm
Street Light,Malfunction,Blinking Off and On,SLG1 Streetlight Blinking Off and On
Street Light,Malfunction,Day Burn,SLG2 Streetlight Burning During Day
Street Light,Malfunction,Street Light,SLQ0 Streetlight Problem Identification Referral
Street Light,Malfunction,Street Light,Street Light Malfunctioning
Street Light,New,StreetLight,Street Light New
Street Light,Outage,Multiple,SLD0 Streetlight Out - Multiple Outage of Five or More
Street Light,Outage,Multiple,SLG0 Streetlight Out - Single Light Out
Street Light,Outage,Multiple,SLG3 Streetlights Out - Two to Four Lights
Street Light,Outage,Single,SLG0 Streetlight Out - Single Light Out
Street Light,Outage,Street Light,Street Light Out
Street Light,Outage,Two to Four,SLG0 Streetlight Out - Single Light Out
Street Light,Outage,Two to Four,SLG3 Streetlights Out - Two to Four Lights
Street Sign,Damage,Sign,Sign Missing or Damaged - Non-emergency
Street Sign,Damage,Sign,Street Sign Damage
Street Sign,Damage,Sign,Web SR - Street Maintenance / Snow
Street Sign,Missing,Sign,Sign Missing
Street Sign,Missing,Sign,Sign Missing or Damaged - Non-emergency
Street Sign,Missing,Sign,Street Sign Damage
Street Sign,Missing,Sign,Street Sign Missing
Streets / Roadways / Alleys,Broken Asphalt,Blvd / Pkwy,Streets / Roadways / Alleys-Broken Asphalt-Blvd / Pkwy
Streets / Roadways / Alleys,Broken Asphalt,Bridge,Streets / Roadways / Alleys-Broken Asphalt-Bridge
Streets / Roadways / Alleys,Broken Asphalt,District 1,Streets / Roadways / Alleys-Broken Asphalt-District 1
Streets / Roadways / Alleys,Broken Asphalt,District 2,Streets / Roadways / Alleys-Broken Asphalt-District 2
Streets / Roadways / Alleys,Broken Asphalt,District 3,Streets / Roadways / Alleys-Broken Asphalt-District 3
Streets / Roadways / Alleys,Crack,Bridge,Streets / Roadways / Alleys-Crack-Bridge
Streets / Roadways / Alleys,Crack,District 1,Streets / Roadways / Alleys-Crack-District 1
Streets / Roadways / Alleys,Crack,District 2,Streets / Roadways / Alleys-Crack-District 2
Streets / Roadways / Alleys,Crack,District 3,Streets / Roadways / Alleys-Crack-District 3
Streets / Roadways / Alleys,Cut / Permit,Blvd / Pkwy,Streets / Roadways / Alleys-Cut / Permit-Blvd / Pkwy
Streets / Roadways / Alleys,Cut / Permit,District 1,Streets / Roadways / Alleys-Cut / Permit-District 1
Streets / Roadways / Alleys,Cut / Permit,District 2,Streets / Roadways / Alleys-Cut / Permit-District 2
Streets / Roadways / Alleys,Cut / Permit,District 3,Streets / Roadways / Alleys-Cut / Permit-District 3
Streets / Roadways / Alleys,Guardrail,Blvd / Pkwy,Streets / Roadways / Alleys-Guardrail-Blvd / Pkwy
Streets / Roadways / Alleys,Guardrail,Bridge,Streets / Roadways / Alleys-Guardrail-Bridge
Streets / Roadways / Alleys,Guardrail,District 1,Streets / Roadways / Alleys-Guardrail-District 1
Streets / Roadways / Alleys,Guardrail,District 2,Streets / Roadways / Alleys-Guardrail-District 2
Streets / Roadways / Alleys,Guardrail,District 3,Streets / Roadways / Alleys-Guardrail-District 3
Streets / Roadways / Alleys,Markings / Paint,Bike Lanes,Streets / Roadways / Alleys-Markings / Paint-Bike lanes
Streets / Roadways / Alleys,Markings / Paint,Crosswalk,Streets / Roadways / Alleys-Markings / Paint-Crosswalk
Streets / Roadways / Alleys,Markings / Paint,Lane Lines,Streets / Roadways / Alleys-Markings / Paint-Lane lines
Streets / Roadways / Alleys,Markings / Paint,New Marking Request,Streets / Roadways / Alleys-Markings / Paint-New Marking Request
Streets / Roadways / Alleys,Markings / Paint,Turn Lanes,Streets / Roadways / Alleys-Markings / Paint-Turn lanes
Streets / Roadways / Alleys,Obstructed / Closure,Detour,Streets / Roadways / Alleys-Obstructed / Closure-Detour
Streets / Roadways / Alleys,Obstructed / Closure,Event / Closure Request,Streets / Roadways / Alleys-Obstructed / Closure-Event / Closure Request
Streets / Roadways / Alleys,Obstructed / Closure,Lane Closed,Streets / Roadways / Alleys-Obstructed / Closure-Lane Closed
Streets / Roadways / Alleys,Obstructed / Closure,Marathon/Run/Race,Street/Roadway/Alley - Obstructed / Closure - Marathon/Run/Race
Streets / Roadways / Alleys,Obstructed / Closure,Road Closed,Streets / Roadways / Alleys-Obstructed / Closure-Road Closed
Streets / Roadways / Alleys,Other-Maintenance,District 1,Streets/Roadways/Alleys-Other Maintenance-District 1
Streets / Roadways / Alleys,Other-Maintenance,District 2,Streets/Roadways/Alleys-Other Maintenance-District 2
Streets / Roadways / Alleys,Other-Maintenance,District 3,Streets/Roadways/Alleys-Other Maintenance-District 3
Streets / Roadways / Alleys,Plate,Loose,Streets / Roadways / Alleys-Plate-Loose
Streets / Roadways / Alleys,Plate,Missing / Displaced,Streets / Roadways / Alleys-Plate-Missing / Displaced
Streets / Roadways / Alleys,Plate,Request,Streets / Roadways / Alleys-Plate-Request
Streets / Roadways / Alleys,Pothole,Blvd / Pkwy,Streets / Roadways / Alleys-Pothole-Blvd / Pkwy
Streets / Roadways / Alleys,Pothole,Bridge,Streets / Roadways / Alleys-Pothole-Bridge
Streets / Roadways / Alleys,Pothole,District 1,Streets / Roadways / Alleys-Pothole-District 1
Streets / Roadways / Alleys,Pothole,District 2,Streets / Roadways / Alleys-Pothole-District 2
Streets / Roadways / Alleys,Pothole,District 3,Streets / Roadways / Alleys-Pothole-District 3
Streets / Roadways / Alleys,Resurfacing,District 1,Streets / Roadways / Alleys-Resurfacing-District 1
Streets / Roadways / Alleys,Resurfacing,District 2,Streets / Roadways / Alleys-Resurfacing-District 2
Streets / Roadways / Alleys,Resurfacing,District 3,Streets / Roadways / Alleys-Resurfacing-District 3
Streets / Roadways / Alleys,Resurfacing,Service Issue / Problem,Streets / Roadways / Alleys-Resurfacing-Service Issue / Problem
Streets / Roadways / Alleys,Sinkhole Referral,District 1,Streets / Roadways / Alleys-Sinkhole Referral-District 1
Streets / Roadways / Alleys,Sinkhole Referral,District 2,Streets / Roadways / Alleys-Sinkhole Referral-District 2
Streets / Roadways / Alleys,Sinkhole Referral,District 3,Streets / Roadways / Alleys-Sinkhole Referral-District 3
Streets / Roadways / Alleys,Snow / Ice,District 1,Streets / Roadways / Alleys-Snow / Ice-District 1
Streets / Roadways / Alleys,Snow / Ice,District 2,Streets / Roadways / Alleys-Snow / Ice-District 2
Streets / Roadways / Alleys,Snow / Ice,District 3,Streets / Roadways / Alleys-Snow / Ice-District 3
Streets / Roadways / Alleys,Snow / Ice,Feedback,Streets / Roadways / Alleys-Snow / Ice-Feedback
Streets / Roadways / Alleys,Snow / Ice,Snow Blocking Drive or Sidewalk,Street/Roadway/Alley-Snow / Ice-Snow Blocking Drive
Streets / Roadways / Alleys,Snow / Ice,Snow Route Verification,Streets/Roadways/Alleys-Snow / Ice-Snow Verify List
Streets / Roadways / Alleys,Speed Bump,Removal,Streets / Roadways / Alleys-Speed Bump-Removal
Streets / Roadways / Alleys,Speed Bump,Request New,Streets / Roadways / Alleys-Speed Bump-Request New
Streets / Roadways / Alleys,Street Clean Up,Bike Route,Streets / Roadways / Alleys-Street Clean Up-Bike Route
Streets / Roadways / Alleys,Street Clean Up,Blvd / Pkwy - Central,Streets / Roadways / Alleys-Street Clean Up-Blvd / Pkwy - Central
Streets / Roadways / Alleys,Street Clean Up,Blvd / Pkwy - North,Streets / Roadways / Alleys-Street Clean Up-Blvd / Pkwy - North
Streets / Roadways / Alleys,Street Clean Up,Blvd / Pkwy - South,Streets / Roadways / Alleys-Street Clean Up-Blvd / Pkwy - South
Streets / Roadways / Alleys,Street Clean Up,Bridge,Streets / Roadways / Alleys-Street Clean Up-Bridge
Streets / Roadways / Alleys,Street Clean Up,District 1,Streets / Roadways / Alleys-Street Clean Up-District 1
Streets / Roadways / Alleys,Street Clean Up,District 2,Streets / Roadways / Alleys-Street Clean Up-District 2
Streets / Roadways / Alleys,Street Clean Up,District 3,Streets / Roadways / Alleys-Street Clean Up-District 3
Streets / Roadways / Alleys,Street Clean Up,Sweeping Schedule,Streets / Roadways / Alleys-Street Clean Up-Sweeping Schedule
Streets / Roadways / Alleys,Street Services,Call Back Request,Streets / Roadways / Alleys-Street Services-Call Back Request
Streets / Roadways / Alleys,Street Services,Feedback,Streets / Roadways / Alleys-Street Services-Feedback
Streets / Roadways / Alleys,Street Services,Question,Streets / Roadways / Alleys-Street Services-Question
Streets / Roadways / Alleys,Street Services,Service Issue / Problem,Streets / Roadways / Alleys-Street Services-Service Issue / Problem
Streets / Roadways / Alleys,Street Services,Street Permit Research,Streets / Roadways / Alleys-Street Services-Street Permit Research
Streets / Roadways / Alleys,Street Services,Traffic Study Request,Streets / Roadways / Alleys-Street Services-Traffic Study Request
Streets / Roadways / Alleys,Street Services,Traffic Video Request,Streets / Roadways / Alleys-Street Services-Traffic Video Request
Sweeping,Street,District One,Street Sweeping (North of River)
Sweeping,Street,District Three,Street Sweeping (South of 47th Street)
Sweeping,Street,District Two,Street Sweeping (South of River to 47th Street)
Sweeping,Street,District Two,Street Sweeping Citywide
Traffic Sign,Damage,Sign,Traffic Sign Damage
Traffic Sign,Missing,Sign,Traffic Sign Damage
Traffic Sign,Missing,Sign,Traffic Sign Down or Missing
Traffic Sign,Missing,Sign,Traffic Sign Down or Missing - Emergency
Traffic Study,Traffic Study,Traffic,Traffic Engineering and Traffic Studies
Traffic Study,Traffic Study,Traffic,"Traffic Study for Signs, Reduced Speed, Signal, Crosswalk"
Trash,Animal,Dead,Dead Animal Pick-up
Trash,Bulky,Address Will Not Validate,Bulky Address Validation
Trash,Bulky,Appointment,Bulky Appointment
Trash,Bulky,Appointment,Bulky Pick-up Missed
Trash,Bulky,Flood,Bulky Pick Up Due to Flood Damage
Trash,Bulky,Missed,Bulky Pick-up Missed
Trash,Bulky,Missed,Trash-Missed Bulky
Trash,City,Missed,Trash - Missed by City
Trash,City,Missed,Trash was missed for Tuesday pickup for 2 bags.
Trash,City Property,All,Cleaning City Property
Trash,Contractor,All,Trash - Missed by Contractor
Trash,Contractor,North,Trash Missed by Contractor North
Trash,Contractor,South,Trash Missed by Contractor South
Trash,Contractor,South,Trash Recycle Missed by Contractor South
Trash,Customer Service,Negative Comments,Staff Complaints for Solid Waste
Trash,Customer Service,Negative Comments,Trash - Staff Complaints for Solid Waste
Trash,Customer Service,Positive Comments,Staff Compliments for Solid Waste
Trash,Customer Service,Positive Comments,Trash-Staff Compliments for Solid Waste
Trash,Illegal Dumping,All,Illegal Dumping on Property
Trash,Illegal Dumping,NCS Referral,Referral for Abatement of Illegal Dumping
Trash,Investigation,Six-plex or less,Trash - Multi Unit Investigation
Trash,Investigation,Six-plex or less,Trash Multi Unit Investigation
Trash,Land Trust,All,Cleaning vacant Land Trust Lots
Trash,Land Trust,All,Mowing on Land Trust Lots
Trash,Leaf & Brush,Missed,Leaf and Brush Pick-up Missed
Trash,Leaf & Brush,Missed,Trash-Leaf and Brush Pick-up Missed
Trash,Recycle,Bin Replacement or Damage,Recycle Bin Damaged
Trash,Recycle,Bin Replacement or Damage,Recycle Bin New Service
Trash,Recycle,Bin Replacement or Damage,Trahs-Recycle Bin Damaged
Trash,Recycle,Bin Replacement or Damage,Trahs-Recycle Bin New Service
Trash,Recycle,Bin Replacement or Damage,Trash - Recycle Bin Damaged
Trash,Recycle,Bin Replacement or Damage,Trash - Recycle Bin New Service
Trash,Recycle,City,Trash Recycling Missed by City
Trash,Recycle,Contractor,Trash Recycling Missed by Contractor
Trash,Recycle,Missed,Recycling Missed
Trash,Recycle,Missed,Trash-Recycling Missed
Trash,Recycle,North Contractor,Trash Recycle Missed by Contractor North
Trash,Recycle,South Contractor,Trash Recycle Missed by Contractor South
Trash,Right of Way,All,Illegal Dumping on Right of Way
Trash,Right of Way,All,Mowing on Land Trust Lots
Trash,Roll-out Cart,All,Trash - Roll-Out Cart Administration
Trash,Roll-out Cart,All,Trash - Roll-out Cart Damaged or Broken
Trash,Roll-out Cart,All,Trash - Roll-out Cart Missing
Trash,Roll-out Cart,All,Trash Cart Damaged
Trash,Roll-out Cart,All,Trash Cart Missing
Trash,Roll-out Cart,All,Trash Roll Out Cart Damaged or Missing
Trash,Roll-out Cart,All,Trash Roll Out Cart Missing
Trash,Roll-out Cart,Damaged,Trash Cart Damaged
Trash,Roll-out Cart,Missing,Trash Cart Missing
Trash,Salvage Yard Investigation,All,Salvage Yard Investigation
Trash,Storm Clean Up,All,Trash Storm Cleanup
Trash,Storm Clean Up,East,Storm Damage East
Trash / Recycling,Bulky Pick Up,Address Validation,Trash / Recycling-Bulky Pick Up -Address Validation
Trash / Recycling,Bulky Pick Up,Missed Pick Up,Trash / Recycling-Bulky Pick Up -Missed Pick Up
Trash / Recycling,Dumping,Alley - Public Works - District 1,Trash / Recycling - Dumping - Alley - D1
Trash / Recycling,Dumping,Alley - Public Works - District 1,Trash / Recycling-Dumping-Alley
Trash / Recycling,Dumping,Alley - Public Works - District 2,Trash / Recycling - Dumping - Alley - D2
Trash / Recycling,Dumping,Alley - Public Works - District 3,Trash / Recycling - Dumping - Alley - D3
Trash / Recycling,Dumping,Camera Request,Trash / Recycling-Dumping-Camera Request
Trash / Recycling,Dumping,Landlord Set Out,Trash / Recycling-Dumping-Landlord Set Out
Trash / Recycling,Dumping,Park - Central,Trash / Recycling-Dumping-Park - Central
Trash / Recycling,Dumping,Park - North,Trash / Recycling-Dumping-Park - North
Trash / Recycling,Dumping,Park - South,Trash / Recycling-Dumping-Park - South
Trash / Recycling,Dumping,Private Property,Trash / Recycling-Dumping-Private Property
Trash / Recycling,Dumping,Right of Way Central,Trash / Recycling-Dumping-ROW Central
Trash / Recycling,Dumping,Right of Way LB Central,Trash / Recycling-Dumping-ROW Land Bank Central
Trash / Recycling,Dumping,Right of Way LB North,Trash / Recycling-Dumping-ROW Land Bank North
Trash / Recycling,Dumping,Right of Way LB South,Trash / Recycling-Dumping-ROW Land Bank South
Trash / Recycling,Dumping,Right of Way North,Trash / Recycling-Dumping-ROW North
Trash / Recycling,Dumping,Right of Way South,Trash / Recycling-Dumping-ROW South
Trash / Recycling,Dumping,Right-Of-Way,Trash / Recycling-Dumping-Right of Way
Trash / Recycling,Dumping,Right-Of-Way,Trash / Recycling-Dumping-Right of Way (ROW)
Trash / Recycling,Dumping,Solid Waste Referral,Trash / Recycling-Dumping-Solid Waste Referral
Trash / Recycling,Dumpsters,Dumpster Request,Trash / Recycling-Dumpsters-Dumpster Request
Trash / Recycling,Dumpsters,Private Property,Property Violations
Trash / Recycling,Dumpsters,Street / Alley / ROW,Trash / Recycling-Dumpsters-Street / Alley / ROW
Trash / Recycling,Early Set Out,Central,Trash / Recycling-Early Set Out-Central
Trash / Recycling,Early Set Out,North,Trash / Recycling-Early Set Out-North
Trash / Recycling,Early Set Out,South,Trash / Recycling-Early Set Out-South
Trash / Recycling,Landlord Set Out,Central,Trash / Recycling-Landlord Set Out-Central
Trash / Recycling,Landlord Set Out,North,Trash / Recycling-Landlord Set Out-North
Trash / Recycling,Landlord Set Out,South,Trash / Recycling-Landlord Set Out-South
Trash / Recycling,Leaf / Brush,Dumping in Street,Trash / Recycling-Leaf / Brush-Dumping in Street
Trash / Recycling,Leaf / Brush,Friday - Central,Trash/Recycling - Leaf/Brush - Friday - Central
Trash / Recycling,Leaf / Brush,Friday - North,Trash/Recycling - Leaf/Brush - Friday - North
Trash / Recycling,Leaf / Brush,Friday - North,Trash/Recycling - Leaf/Brush - Monday - Central
Trash / Recycling,Leaf / Brush,Friday - South,Trash/Recycling - Leaf/Brush - Friday - South
