,Frequency,Num of Abandoned Houses,count
Cluster 1,0.09184,3.7,10
Cluster 2,0.02995,0.14793,169
Cluster 3,0.0976,0.0,4
Cluster 4,0.05969,3.33333,3
Cluster 5,0.05722,0.88462,52
