lat,lng,Type
39.0810805,-94.5514223,Target
39.074002,-94.5381687,Target
39.048758,-94.5344631,Target
39.0676053,-94.5271735,Target
39.02045040000001,-94.54554040000001,Target
39.037240999999995,-94.557479,Target
39.103619200000004,-94.5030966,Target
39.0706927,-94.5553708,Target
39.019354799999995,-94.5108661,Target
39.0027216,-94.5435664,Target
39.073059,-94.515004,Target
39.0701404,-94.53223790000001,Target
39.048239200000005,-94.5352687,Target
39.0505169,-94.5546935,Target
39.0344695,-94.5109869,Target
39.0905255,-94.5114455,Target
39.0593973,-94.55025390000002,Target
39.100707299999996,-94.5301134,Target
39.0781304,-94.53538950000001,Target
39.05380039999999,-94.5343423,Target
39.0464888,-94.5269722,Target
39.0768919,-94.5404696,Target
39.0432213,-94.5336979,Target
38.986178100000004,-94.49594420000001,Target
39.0539723,-94.536195,Target
39.0232089,-94.5602867,Target
39.0755907,-94.5275762,Target
39.09069960000001,-94.530637,Target
39.10696920000001,-94.53272120000001,Target
39.0848793,-94.5385816,Target
39.090627600000005,-94.5128287,Target
39.09068180000001,-94.51851590000001,Target
39.0836653,-94.5403036,Target
39.0220061,-94.5431636,Target
39.1165778,-94.5175495,Target
39.0197875,-94.5458627,Target
39.061000899999996,-94.5357175,Target
39.1968212,-94.6066903,Crime
39.2402109,-94.4194691,Crime
39.1687226,-94.4962428,Crime
39.0853299,-94.5855766,Crime
38.9145217,-94.5146172,Crime
39.04915889999999,-94.5868859,Crime
39.045863700000005,-94.43933890000001,Crime
38.987702500000005,-94.5756208,Crime
39.2238834,-94.4859899,Crime
39.104774,-94.586303,Crime
38.9645145,-94.5107781,Crime
39.049822999999996,-94.5151853,Crime
39.3782255,-87.7378521,Crime
38.9925586,-94.5560261,Crime
39.129771500000004,-94.50518170000001,Crime
39.09414640000001,-94.5234234,Crime
39.090800200000004,-94.5289921,Crime
41.610531200000004,-93.8904677,Crime
39.0475503,-94.5451577,Crime
39.0773644,-94.5622917,Crime
39.0493854,-94.44174720000001,Crime
38.9384956,-94.5225278,Crime
39.1014704,-94.51898879999999,Crime
39.0428626,-94.5954161,Crime
38.974544,-94.608712,Crime
39.063256200000005,-94.5717139,Crime
39.161876299999996,-94.5337567,Crime
39.055163,-94.53941390000001,Crime
39.256309,-94.662553,Crime
39.171839399999996,-94.49792430000001,Crime
39.04493799999999,-94.4429715,Crime
39.0833547,-94.58283890000001,Crime
39.0685193,-94.5667962,Crime
38.9556918,-94.59034840000001,Crime
39.0781352,-94.5321271,Crime
38.99153099999999,-94.5745777,Crime
39.055283,-94.548987,Crime
39.0715361,-94.5494264,Crime
39.041581799999996,-94.5738871,Crime
39.0640736,-94.58182920000002,Crime
39.0921406,-94.5495836,Crime
39.059478000000006,-94.5929093,Crime
