,White alone,Black or African American alone,Num of Abandoned Houses,count
Cluster 1,740.61475,172.12295,0.01639,122
Cluster 2,283.47222,557.5,0.95833,72
Cluster 3,1322.3871,236.35484,0.0,31
Cluster 4,79.46154,589.84615,3.61538,13
