nbh_name,property_damages,property_violations_calls
Ivanhoe Northeast,4391,0.0
CBD Downtown,289,70.0
Hospital Hill,127,0.0
Shoal Creek,111,113.0
Blue Hills,86,148.0
Crossroads,70,65.0
Old Westport,69,0.0
Independence Plaza,68,83.0
Broadway Gillham,62,0.0
East Community Team South,61,238.0
Key Coalition,61,0.0
Volker,60,76.0
North Indian Mound,56,193.0
North Town Fork Creek,56,136.0
Crown Center,56,0.0
East Community Team North,55,79.0
Blenheim Square Research Hospital,54,65.0
North Hyde Park,51,0.0
Scarritt Point,50,140.0
Davidson,50,0.0
West Plaza,50,0.0
Southmoreland,49,74.0
Coves North,49,0.0
Sheffield,49,0.0
Lykins,48,175.0
Pendleton Heights,44,0.0
Paseo West,42,0.0
Ruskin Heights,41,168.0
KCI & 2nd Creek,40,0.0
Oak Park Southeast,39,72.0
Santa Fe,39,72.0
Blue Valley Industrial,38,0.0
Oak Park Northwest,37,80.0
Plaza Westport,36,0.0
Swope Parkway-Elmwood,35,147.0
Marlborough Heights/Marlborough Pride,34,134.0
Hickman Mills,34,0.0
Valentine,34,0.0
Fairlane,33,62.0
Fairwood And Robandee,31,94.0
Eastern 49-63,30,122.0
18th And Vine And Downtown East,30,92.0
Westside South,30,0.0
Self Help Neighborhood Council,28,85.0
Hanover Place,28,0.0
Ivanhoe Southeast,28,0.0
Mount Cleveland,28,0.0
Quality Hill,28,0.0
Washington Wheatley,28,0.0
Manheim Park,27,65.0
Briarcliff And Claymont,27,0.0
Eastwood Hills East,26,178.0
West Blue Valley,26,0.0
Wendell Phillips,25,88.0
Park Farms,25,78.0
Chaumiere,25,77.0
Gashland,25,0.0
East Meyer 7,24,0.0
Loma Vista,24,0.0
Parkview,24,0.0
South Indian Mound,24,0.0
Westside North,24,0.0
Oak Park Southwest,23,157.0
Knoches Park,23,74.0
Ivanhoe Southwest,23,0.0
Tower Homes,22,105.0
Noble And Gregory Ridge,22,101.0
South Blue Valley,22,61.0
Marlborough East,22,0.0
Martin City,22,0.0
Ingleside,21,0.0
New Mark,21,0.0
Platte Ridge,21,0.0
River Market,21,0.0
South Town Fork Creek,21,0.0
Little Blue,20,0.0
Nashua,20,0.0
Riss Lake,20,0.0
Winnetonka,20,0.0
North Blue Ridge,19,70.0
Stratford Estates,19,67.0
Western 49-63,19,64.0
Hawthorne And Picture Hills,19,0.0
Longfellow,19,0.0
Western Hills,19,0.0
South Hyde Park,18,87.0
Barry Harbour,18,0.0
Jefferson Highlands,18,0.0
Linwood Homeowners-Ivanhoe,18,0.0
Neighbors United For Action,18,0.0
Parkdale And Walden,18,0.0
Country Club Plaza,17,0.0
Eastwood Hills West,17,0.0
Hillcrest,17,0.0
Santa Fe Hills,17,0.0
Ward Parkway,16,71.0
Crestview,16,64.0
Ashland Ridge,16,0.0
East Swope Highlands,16,0.0
Forgotten Homes,16,0.0
Meadowbrook Heights,16,0.0
Boone Hills,15,66.0
East Blue Valley,15,0.0
Hidden Valley,15,0.0
Legacy East,15,0.0
Sterling Acres,15,0.0
East Meyer 6,14,68.0
Central Hyde Park,14,0.0
Citadel,14,0.0
Hickman Mills South,14,0.0
Maple Park,14,0.0
Mount Hope,14,0.0
Northeast Industrial District,14,0.0
Rockhill Manor,14,0.0
Swope Park Campus,14,0.0
Waldo Homes,13,61.0
Birmingham Bottoms,13,0.0
Central Blue Valley And Park Tower Gardens,13,0.0
Country Club Estates And Big Shoal,13,0.0
Line Creek And Northern Heights,13,0.0
Sherrydale,13,0.0
Western Blue Township,13,0.0
Palestine West And Oak Park Northeast,12,73.0
Harlem,12,0.0
Ruskin Hills,11,68.0
Briarcliff West,11,0.0
Bridlespur,11,0.0
Cooley Highlands S,11,0.0
Leeds,11,0.0
Prairie Point-Wildberry,11,0.0
Red Bridge North,11,0.0
South Plaza,11,0.0
Vineyard,10,76.0
Columbus Park,10,0.0
Country Valley-Hawthorn Square,10,0.0
Minneville,10,0.0
Palestine East,10,0.0
Park Forest,10,0.0
Rolling Meadows,10,0.0
Sunset Hill,10,0.0
Stayton Meadows,9,75.0
Country Lane Estates,9,0.0
Foxtown East,9,0.0
Hill Haven,9,0.0
Linden Hills And Indian Heights,9,0.0
Platte Brook North,9,0.0
Red Bridge South,9,0.0
River View,9,0.0
Royal Oaks,9,0.0
St Catherines Gardens,9,0.0
The Coves,9,0.0
Winnwood,9,0.0
Beacon Hills,8,0.0
Center City,8,0.0
Gracemor-Randolph Corners,8,0.0
Lewis Heights,8,0.0
Park Plaza,8,0.0
Sherwood Estates,8,0.0
Union Hill,8,0.0
Ravenwood-Somerset,7,62.0
Bannister Acres,7,0.0
Boulevard Village,7,0.0
Clayton,7,0.0
Columbus Park Industrial,7,0.0
Holmes Park,7,0.0
Lakeview Terrace,7,0.0
Lea Manor,7,0.0
Richards Gebaur,7,0.0
Vineyard Northwest,7,0.0
West Waldo,7,0.0
Willow Creek,7,0.0
Maple Park West,6,236.0
Antioch Acres,6,0.0
Armour Hills,6,0.0
Breen Hills,6,0.0
Highview Estates,6,0.0
Mission Lake,6,0.0
Morningside,6,0.0
Squier Park,6,0.0
Armour Fields,5,0.0
Blue Vue Hills,5,0.0
Colonial Square,5,0.0
Foxwoods-Carriage Hills,5,0.0
Glenhaven,5,0.0
Kirkside,5,0.0
Sechrest,5,0.0
Brown Estates,4,0.0
Country Club District,4,0.0
Countryside,4,0.0
Cunningham Ridge,4,0.0
Oakwood,4,0.0
Outer Gashland-Nashua,4,0.0
Ridgefield,4,0.0
Roanoke,4,0.0
Robandee South,4,0.0
Sterling Gardens,4,0.0
Blue Hills Estates,3,0.0
Coachlight Square,3,0.0
Fairway Hills,3,0.0
Longview,3,0.0
Oldham Farms,3,0.0
Park Central-Research Park,3,0.0
Rockhill,3,0.0
Tanglewood And Regency North,3,0.0
Woodbridge,3,0.0
Calico Farms,2,0.0
Chouteau Estates,2,0.0
Dunbar,2,0.0
Foxcroft And Glen Arbor,2,0.0
Greenway Fields,2,0.0
Holiday Hills,2,0.0
Linden Park,2,0.0
Oak Meyer Gardens,2,0.0
River Forest,2,0.0
Swope Park Ridge-Winchester,2,0.0
Unity Ridge,2,0.0
Vineyard Estates,2,0.0
Woodson Estates,2,0.0
Coleman Highlands,1,0.0
Country Club,1,0.0
Crestwood,1,0.0
Crossgates,1,0.0
Strupwood,1,0.0
Terrace Lake Gardens,1,0.0
White Oak,1,0.0
