nbh_name,property_damages,property_violations_calls
CBD Downtown,284,70.0
KCI & 2nd Creek,242,0.0
Shoal Creek,213,113.0
Ruskin Heights,212,168.0
Blue Hills,180,148.0
Old Westport,156,0.0
South Indian Mound,155,0.0
Scarritt Point,153,140.0
Fairlane,152,62.0
Pendleton Heights,150,0.0
North Town Fork Creek,140,136.0
Marlborough Heights/Marlborough Pride,135,134.0
Lykins,133,175.0
Sheffield,133,0.0
River Market,131,0.0
East Community Team South,125,238.0
Swope Parkway-Elmwood,123,147.0
North Indian Mound,122,193.0
Ruskin Hills,119,68.0
Davidson,115,0.0
Washington Wheatley,115,0.0
Park Farms,111,78.0
Broadway Gillham,110,0.0
Independence Plaza,107,83.0
Blenheim Square Research Hospital,106,65.0
Self Help Neighborhood Council,104,85.0
Oak Park Southeast,104,72.0
North Hyde Park,102,0.0
Southmoreland,101,74.0
Hickman Mills,101,0.0
East Community Team North,99,79.0
Knoches Park,99,74.0
Oak Park Northwest,98,80.0
Oak Park Southwest,97,157.0
Hospital Hill,95,0.0
Tower Homes,94,105.0
Westside North,94,0.0
Santa Fe,92,72.0
Crossroads,88,65.0
Quality Hill,87,0.0
Ivanhoe Southwest,86,0.0
Key Coalition,85,0.0
Fairwood And Robandee,84,94.0
Ivanhoe Southeast,84,0.0
East Meyer 6,82,68.0
18th And Vine And Downtown East,78,92.0
Vineyard,78,76.0
Loma Vista,78,0.0
Wendell Phillips,75,88.0
Eastwood Hills East,73,178.0
Manheim Park,72,65.0
Volker,70,76.0
Coves North,70,0.0
Linden Hills And Indian Heights,69,0.0
Martin City,69,0.0
Riss Lake,69,0.0
East Swope Highlands,68,0.0
Central Blue Valley And Park Tower Gardens,67,0.0
South Town Fork Creek,66,0.0
West Blue Valley,66,0.0
Stratford Estates,65,67.0
South Blue Valley,63,61.0
Valentine,63,0.0
Western 49-63,62,64.0
Country Club Plaza,62,0.0
Westside South,62,0.0
East Meyer 7,60,0.0
Eastern 49-63,59,122.0
Crestview,59,64.0
Eastwood Hills West,58,0.0
Hanover Place,57,0.0
Hidden Valley,56,0.0
Linwood Homeowners-Ivanhoe,56,0.0
Plaza Westport,55,0.0
Red Bridge South,55,0.0
Willow Creek,54,0.0
Noble And Gregory Ridge,52,101.0
Crown Center,51,0.0
South Hyde Park,50,87.0
Legacy East,50,0.0
West Plaza,50,0.0
Parkdale And Walden,49,0.0
Paseo West,49,0.0
Briarcliff And Claymont,47,0.0
Sherrydale,47,0.0
South Plaza,47,0.0
Winnetonka,47,0.0
East Blue Valley,46,0.0
Longfellow,46,0.0
Mission Lake,46,0.0
Platte Ridge,45,0.0
The Coves,45,0.0
Citadel,44,0.0
Line Creek And Northern Heights,43,0.0
Little Blue,43,0.0
St Catherines Gardens,43,0.0
Gashland,42,0.0
Hill Haven,42,0.0
Ivanhoe Northeast,42,0.0
Ward Parkway,41,71.0
Tanglewood And Regency North,41,0.0
Palestine East,40,0.0
Union Hill,40,0.0
Vineyard Northwest,40,0.0
Gracemor-Randolph Corners,39,0.0
Palestine West And Oak Park Northeast,38,73.0
Columbus Park,38,0.0
Ridgefield,38,0.0
Western Blue Township,38,0.0
Hickman Mills South,37,0.0
Bannister Acres,36,0.0
Swope Park Campus,36,0.0
Maple Park West,34,236.0
Ravenwood-Somerset,34,62.0
Ashland Ridge,34,0.0
Central Hyde Park,34,0.0
Maple Park,34,0.0
Meadowbrook Heights,34,0.0
Rockhill Manor,34,0.0
North Blue Ridge,33,70.0
Blue Valley Industrial,33,0.0
Richards Gebaur,33,0.0
Robandee South,33,0.0
Winnwood,33,0.0
Barry Harbour,32,0.0
Center City,32,0.0
Lea Manor,30,0.0
Nashua,30,0.0
Northeast Industrial District,30,0.0
Platte Brook North,30,0.0
Crossgates,29,0.0
Brown Estates,28,0.0
Ingleside,28,0.0
Chouteau Estates,27,0.0
Clayton,27,0.0
New Mark,27,0.0
Chaumiere,26,77.0
Antioch Acres,26,0.0
Bridlespur,26,0.0
Jefferson Highlands,26,0.0
Parkview,26,0.0
Prairie Point-Wildberry,26,0.0
Vineyard Estates,26,0.0
Boone Hills,25,66.0
Beacon Hills,24,0.0
Marlborough East,24,0.0
Park Forest,24,0.0
Santa Fe Hills,24,0.0
Sunset Hill,24,0.0
Lakeview Terrace,23,0.0
Squier Park,23,0.0
Country Valley-Hawthorn Square,22,0.0
Roanoke,22,0.0
Calico Farms,21,0.0
Park Central-Research Park,21,0.0
River View,21,0.0
Western Hills,21,0.0
Columbus Park Industrial,20,0.0
Kirkside,20,0.0
Mount Hope,20,0.0
Neighbors United For Action,20,0.0
Boulevard Village,19,0.0
Rockhill,19,0.0
Highview Estates,18,0.0
Birmingham Bottoms,17,0.0
Dunbar,17,0.0
Holmes Park,17,0.0
Lewis Heights,17,0.0
Mount Cleveland,17,0.0
Outer Gashland-Nashua,17,0.0
Stayton Meadows,16,75.0
Cooley Highlands S,15,0.0
Country Club Estates And Big Shoal,15,0.0
Glenhaven,15,0.0
Oldham Farms,15,0.0
Cunningham Ridge,14,0.0
White Oak,14,0.0
Countryside,13,0.0
Hawthorne And Picture Hills,13,0.0
Hillcrest,13,0.0
Breen Hills,12,0.0
Forgotten Homes,12,0.0
Morningside,12,0.0
Verona Hills,12,0.0
Harlem,11,0.0
Park Plaza,11,0.0
Red Bridge North,11,0.0
West Waldo,11,0.0
Linden Park,10,0.0
Blue Vue Hills,9,0.0
Foxcroft And Glen Arbor,9,0.0
Sterling Gardens,9,0.0
Ward Parkway Plaza,9,0.0
Waldo Homes,8,61.0
Briarcliff West,8,0.0
Colonial Square,8,0.0
Foxtown East,8,0.0
Leeds,8,0.0
Oakwood,8,0.0
Rolling Meadows,8,0.0
Royal Oaks,8,0.0
Sterling Acres,8,0.0
Terrace Lake Gardens,8,0.0
Winnwood Gardens,7,0.0
Country Lane Estates,6,0.0
Royal Oaks North,6,0.0
Unity Ridge,6,0.0
Oak Meyer Gardens,5,0.0
Woodbridge,5,0.0
Armour Hills,4,0.0
Brookside Park,4,0.0
Fairway Hills,4,0.0
Sheraton Estates,4,0.0
Wornall Homestead,4,0.0
Minneville,3,0.0
River Forest,3,0.0
Romanelli West,3,0.0
Armour Fields,2,0.0
Blue Ridge Farms,2,0.0
Coachlight Square,2,0.0
Coleman Highlands,2,0.0
Country Club,2,0.0
Foxwoods-Carriage Hills,2,0.0
Glen Lake,2,0.0
Greenway Fields,2,0.0
Holiday Hills,2,0.0
Strupwood,2,0.0
Sunset Hill West,2,0.0
Swope Park Ridge-Winchester,2,0.0
Timber Valley,2,0.0
Woodson Estates,2,0.0
