nbh_name,property_damages,property_violations_calls
Blue Hills,254,148.0
Shoal Creek,207,113.0
Marlborough Heights/Marlborough Pride,188,134.0
CBD Downtown,179,70.0
East Community Team South,164,238.0
Old Westport,162,0.0
Scarritt Point,161,140.0
Independence Plaza,146,83.0
North Town Fork Creek,138,136.0
Santa Fe,137,72.0
Ruskin Heights,134,168.0
East Community Team North,130,79.0
Riss Lake,125,0.0
North Indian Mound,118,193.0
Wendell Phillips,116,88.0
Blenheim Square Research Hospital,116,65.0
KCI & 2nd Creek,116,0.0
Davidson,115,0.0
Key Coalition,113,0.0
Lykins,112,175.0
Crossroads,107,65.0
South Indian Mound,106,0.0
Oak Park Southeast,105,72.0
Coves North,103,0.0
Fairlane,102,62.0
Sheffield,93,0.0
West Plaza,93,0.0
Swope Parkway-Elmwood,92,147.0
Pendleton Heights,90,0.0
Washington Wheatley,89,0.0
Oak Park Northwest,87,80.0
Stratford Estates,86,67.0
South Blue Valley,86,61.0
North Hyde Park,86,0.0
Southmoreland,81,74.0
Fairwood And Robandee,80,94.0
Westside South,77,0.0
Westside North,76,0.0
Tower Homes,74,105.0
Broadway Gillham,73,0.0
Volker,72,76.0
Hanover Place,71,0.0
Eastern 49-63,70,122.0
Eastwood Hills East,69,178.0
Loma Vista,69,0.0
Valentine,69,0.0
Knoches Park,68,74.0
Ruskin Hills,68,68.0
East Meyer 7,68,0.0
Hospital Hill,68,0.0
Winnetonka,68,0.0
Park Farms,67,78.0
18th And Vine And Downtown East,65,92.0
Gashland,65,0.0
Ivanhoe Southeast,65,0.0
Ivanhoe Southwest,65,0.0
Tanglewood And Regency North,65,0.0
Hickman Mills,64,0.0
Rockhill Manor,63,0.0
Self Help Neighborhood Council,61,85.0
The Coves,60,0.0
Manheim Park,59,65.0
East Meyer 6,58,68.0
Hidden Valley,58,0.0
Noble And Gregory Ridge,57,101.0
Crestview,56,64.0
Gracemor-Randolph Corners,56,0.0
Neighbors United For Action,56,0.0
Vineyard,53,76.0
Hickman Mills South,53,0.0
Legacy East,53,0.0
Linden Hills And Indian Heights,51,0.0
South Town Fork Creek,51,0.0
West Blue Valley,51,0.0
Red Bridge South,50,0.0
Barry Harbour,49,0.0
Columbus Park,49,0.0
Citadel,47,0.0
East Swope Highlands,47,0.0
Ivanhoe Northeast,47,0.0
Vineyard Northwest,47,0.0
Line Creek And Northern Heights,46,0.0
Parkdale And Walden,46,0.0
Parkview,46,0.0
Central Blue Valley And Park Tower Gardens,45,0.0
South Hyde Park,44,87.0
River Market,43,0.0
Western 49-63,42,64.0
Vineyard Estates,42,0.0
Maple Park West,41,236.0
Martin City,41,0.0
Park Plaza,41,0.0
Winnwood,41,0.0
Oak Park Southwest,39,157.0
Palestine West And Oak Park Northeast,39,73.0
Clayton,39,0.0
Center City,38,0.0
Ingleside,38,0.0
Longfellow,38,0.0
Swope Park Campus,38,0.0
Crown Center,37,0.0
Little Blue,37,0.0
Prairie Point-Wildberry,37,0.0
Blue Valley Industrial,36,0.0
Calico Farms,36,0.0
Crossgates,36,0.0
Willow Creek,36,0.0
Paseo West,35,0.0
Eastwood Hills West,34,0.0
Linwood Homeowners-Ivanhoe,34,0.0
Sherrydale,34,0.0
Ravenwood-Somerset,33,62.0
Park Forest,33,0.0
South Plaza,33,0.0
White Oak,33,0.0
Beacon Hills,32,0.0
Hill Haven,32,0.0
Lewis Heights,32,0.0
Palestine East,32,0.0
Ward Parkway,30,71.0
Bannister Acres,30,0.0
Quality Hill,30,0.0
Ridgefield,30,0.0
St Catherines Gardens,30,0.0
New Mark,29,0.0
Oldham Farms,29,0.0
Robandee South,28,0.0
East Blue Valley,27,0.0
Mount Cleveland,27,0.0
Mount Hope,27,0.0
Platte Ridge,27,0.0
Richards Gebaur,27,0.0
Hillcrest,26,0.0
Country Valley-Hawthorn Square,25,0.0
Plaza Westport,25,0.0
Ashland Ridge,24,0.0
Brown Estates,24,0.0
Country Club Plaza,24,0.0
Lea Manor,24,0.0
Leeds,23,0.0
Platte Brook North,23,0.0
Stayton Meadows,22,75.0
North Blue Ridge,22,70.0
Kirkside,22,0.0
Meadowbrook Heights,22,0.0
Northeast Industrial District,22,0.0
Colonial Square,21,0.0
Boulevard Village,20,0.0
Maple Park,20,0.0
Nashua,20,0.0
Briarcliff And Claymont,19,0.0
Cooley Highlands S,19,0.0
Country Lane Estates,19,0.0
West Waldo,19,0.0
Western Blue Township,19,0.0
Waldo Homes,18,61.0
Holmes Park,18,0.0
River View,18,0.0
Royal Oaks,18,0.0
Sterling Acres,18,0.0
Marlborough East,17,0.0
Western Hills,17,0.0
Birmingham Bottoms,16,0.0
Breen Hills,16,0.0
Glenhaven,16,0.0
Highview Estates,16,0.0
Jefferson Highlands,16,0.0
Mission Lake,16,0.0
Santa Fe Hills,16,0.0
Central Hyde Park,15,0.0
Terrace Lake Gardens,15,0.0
Outer Gashland-Nashua,14,0.0
Rockhill,14,0.0
Sherwood Estates,14,0.0
Sterling Gardens,14,0.0
Briarcliff West,13,0.0
Chouteau Estates,13,0.0
Foxtown East,13,0.0
Foxwoods-Carriage Hills,13,0.0
Lakeview Terrace,13,0.0
Park Central-Research Park,13,0.0
Roanoke,13,0.0
Country Club Estates And Big Shoal,12,0.0
Fairway Hills,12,0.0
Harlem,12,0.0
Rolling Meadows,12,0.0
Squier Park,12,0.0
Cunningham Ridge,11,0.0
Winnwood Gardens,11,0.0
Chaumiere,10,77.0
Boone Hills,10,66.0
Armour Hills,10,0.0
Morningside,10,0.0
River Forest,10,0.0
Union Hill,10,0.0
Forgotten Homes,9,0.0
Antioch Acres,8,0.0
Blue Vue Hills,8,0.0
Bridlespur,8,0.0
Columbus Park Industrial,8,0.0
Countryside,8,0.0
Hawthorne And Picture Hills,8,0.0
Red Bridge North,8,0.0
Sunset Hill,8,0.0
Country Club District,7,0.0
Linden Park,7,0.0
Armour Fields,6,0.0
Oakwood,6,0.0
Verona Hills,6,0.0
Coachlight Square,4,0.0
Coleman Highlands,4,0.0
Dunbar,4,0.0
Longview,4,0.0
