,Crime Frequency,Num of Abandoned Houses,count
Cluster 1,0.41973,0.62712,59
Cluster 2,0.67627,1.625,8
Cluster 3,0.57301,0.7037,27
Cluster 4,0.99877,6.0,6
Cluster 5,0.22584,0.02206,136
Cluster 6,1.30265,5.0,2
