,Median income,Median home value,Total unemployed,Total population age 25+ years with a bachelor's degree or higher,Individuals with income below poverty,Num of Abandoned Houses,count
Cluster 1,76527.06849,241635.91781,27.05479,474.93151,125.08219,0.0,73
Cluster 2,57693.30769,145451.28205,35.30769,267.30769,163.33333,0.25641,39
Cluster 3,42309.86364,112159.81818,34.86364,232.54545,252.72727,0.31818,22
Cluster 4,43794.38095,99098.75,30.0,156.4881,212.55952,0.64286,84
Cluster 5,30345.46154,47633.15385,28.53846,52.30769,215.38462,3.61538,13
Cluster 6,164809.28571,614802.28571,11.57143,543.0,25.42857,0.0,7
