,White alone,Black or African American alone,Num of Abandoned Houses,count
Cluster 1,79.46154,589.84615,3.61538,13
Cluster 2,79.46154,589.84615,3.61538,13
Cluster 3,79.46154,589.84615,3.61538,13
Cluster 4,79.46154,589.84615,3.61538,13
Cluster 5,79.46154,589.84615,3.61538,13
