,Frequency,Num of Abandoned Houses,count
Cluster 1,0.05722,0.88462,52
Cluster 2,0.05722,0.88462,52
Cluster 3,0.05722,0.88462,52
Cluster 4,0.05722,0.88462,52
Cluster 5,0.05722,0.88462,52
